,,,time,stop_reasons,success,lemma_count,failed_proof_count,proofs_later_filtered,file_name
no expl proofs,isaplanner,64,0.028391419,[],True,0,0,0,goal25.smt2.stats.json
no expl proofs,isaplanner,65,0.02582732,[],True,0,0,0,goal9.smt2.stats.json
no expl proofs,isaplanner,66,67.219885859,['IterationLimit'],False,8,15,4,goal24.smt2.stats.json
no expl proofs,isaplanner,67,0.004564722,[],True,0,0,0,goal6.smt2.stats.json
no expl proofs,sufu,0,0.002148739,[],True,0,0,0,autolifter-single-pass-mps.stats.json
no expl proofs,sufu,1,0.0033578780000000003,[],True,0,0,0,synduce-constraints-memo-constant.stats.json
no expl proofs,sufu,2,0.418033076,"['IterationLimit', 'Saturated']",True,4,1,14,synduce-list-last.stats.json
no expl proofs,sufu,3,0.011720564000000001,['Saturated'],True,2,0,0,fusion-deforestation-page7-2.stats.json
no expl proofs,sufu,4,55.194327005,"['IterationLimit', 'Saturated']",False,12,206,2,synduce-tree-sorted.stats.json
no expl proofs,sufu,5,62.824061542,"['IterationLimit', 'Saturated']",False,11,1180,2,synduce-list-issorted.stats.json
no expl proofs,sufu,6,0.071407989,['Saturated'],True,6,0,1,synduce-misc-simple_nnf.stats.json
no expl proofs,sufu,7,0.00964799,['Saturated'],True,3,0,0,autolifter-single-pass-sum.stats.json
no expl proofs,hipspec_sg,0,0.038196913,[],True,0,0,0,nichomachus-goal7.smt2.stats.json
no expl proofs,hipspec_sg,1,0.0062195570000000006,[],True,0,0,0,nichomachus-goal8.smt2.stats.json
no expl proofs,hipspec_sg,2,0.001231106,[],True,0,0,0,rev-equiv-goal6.smt2.stats.json
no expl proofs,hipspec_sg,3,0.00156569,[],True,0,0,0,nichomachus-goal2.smt2.stats.json
no expl proofs,hipspec_sg,4,0.001968357,[],True,0,0,0,nichomachus-goal6.smt2.stats.json
no expl proofs,hipspec_sg,5,0.002038106,[],True,0,0,0,rotate-goal9.smt2.stats.json
no expl proofs,hipspec_sg,6,0.0012120520000000001,[],True,0,0,0,rev-equiv-goal8.smt2.stats.json
no expl proofs,hipspec_sg,7,0.014123223,[],True,0,0,0,nichomachus-goal5.smt2.stats.json
no expl proofs,hipspec_sg,8,0.960779416,[],True,0,0,0,rotate-goal7.smt2.stats.json
no expl proofs,hipspec_sg,9,22.162665576,"['IterationLimit', 'NodeLimit']",True,7,28,1,nichomachus-goal3.smt2.stats.json
no expl proofs,hipspec_sg,10,0.002053879,[],True,0,0,0,rotate-goal8.smt2.stats.json
no expl proofs,hipspec_sg,11,0.0031455990000000002,[],True,0,0,0,rev-equiv-goal3.smt2.stats.json
no expl proofs,hipspec_sg,12,0.056185585,[],True,0,0,0,nichomachus-goal9.smt2.stats.json
no expl proofs,hipspec_sg,13,0.433414134,['IterationLimit'],True,1,0,0,nichomachus-goal4.smt2.stats.json
no expl proofs,leon,0,0.001236652,[],True,0,0,0,amortize-queue-goal11.smt2.stats.json
no expl proofs,leon,1,0.12221011000000001,[],True,0,0,0,amortize-queue-goal3.smt2.stats.json
no expl proofs,leon,2,0.001158163,[],True,0,0,0,amortize-queue-goal1.smt2.stats.json
no expl proofs,leon,3,0.0019291030000000002,[],True,0,0,0,bsearch-tree-goal13.smt2.stats.json
no expl proofs,leon,4,0.000935376,[],True,0,0,0,amortize-queue-goal8.smt2.stats.json
no expl proofs,leon,5,0.0009645080000000001,[],True,0,0,0,amortize-queue-goal10.smt2.stats.json
no expl proofs,leon,6,5.85052798,[],True,0,0,0,amortize-queue-goal5.smt2.stats.json
no expl proofs,leon,7,0.152365311,[],True,0,0,0,amortize-queue-goal4.smt2.stats.json
no expl proofs,leon,8,0.020681537,[],True,0,0,0,bsearch-tree-goal9.smt2.stats.json
no expl proofs,sg_clam,0,0.003269731,[],True,0,0,0,goal-sg13.smt2.stats.json
no expl proofs,sg_clam,1,0.47203554500000006,['IterationLimit'],True,1,0,0,goal-sg83.smt2.stats.json
no expl proofs,sg_clam,2,2.70890262,['IterationLimit'],False,4,1,2,goal-sg22.smt2.stats.json
no expl proofs,sg_clam,3,7.856273159,['IterationLimit'],True,4,0,0,goal-sg24.smt2.stats.json
no expl proofs,sg_clam,4,0.0038898310000000003,[],True,0,0,0,goal-sg16.smt2.stats.json
no expl proofs,sg_clam,5,0.000615654,[],True,0,0,0,goal-sg4.smt2.stats.json
no expl proofs,sg_clam,6,0.0030100950000000004,[],True,0,0,0,goal-sg20.smt2.stats.json
no expl proofs,sg_clam,7,0.001326406,[],True,0,0,0,goal-sg15.smt2.stats.json
no expl proofs,sg_clam,8,0.005498347000000001,[],True,0,0,0,goal-sg25.smt2.stats.json
no expl proofs,sg_clam,9,93.79461053200001,['IterationLimit'],False,7,0,4,goal-sg14.smt2.stats.json
no expl proofs,sg_clam,10,0.000515069,[],True,0,0,0,goal-sg10.smt2.stats.json
no expl proofs,sg_clam,11,0.001757876,[],True,0,0,0,goal-sg17.smt2.stats.json
no expl proofs,sg_clam,12,0.014888739000000002,['Saturated'],True,1,0,0,goal-sg2.smt2.stats.json
no expl proofs,sg_clam,13,0.000700981,[],True,0,0,0,goal-sg35.smt2.stats.json
no expl proofs,sg_clam,14,0.792306712,['IterationLimit'],True,3,0,0,goal-sg21.smt2.stats.json
no expl proofs,sg_clam,15,0.00047538200000000005,[],True,0,0,0,goal-sg27.smt2.stats.json
no expl proofs,sg_clam,16,0.006221114000000001,[],True,0,0,0,goal-sg9.smt2.stats.json
no expl proofs,sg_clam,17,0.000660808,[],True,0,0,0,goal-sg33.smt2.stats.json
no expl proofs,sg_clam,18,4.30764394,['IterationLimit'],True,3,0,0,goal-sg26.smt2.stats.json
no expl proofs,sg_clam,19,6.509985108,"['IterationLimit', 'Saturated']",True,4,1,0,goal-sg82.smt2.stats.json
no expl proofs,sg_clam,20,0.004144907000000001,[],True,0,0,0,goal-sg8.smt2.stats.json
no expl proofs,sg_clam,21,0.001067769,[],True,0,0,0,goal-sg1.smt2.stats.json
no expl proofs,sg_clam,22,0.006917172,[],True,0,0,0,goal-sg49.smt2.stats.json
