name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
autolifter-single-pass-max_len_1s,Timeout,60028.348,133,33,2,Unknown,0,0,0,0
synduce-list-last,Valid,2342.446,24,5,5,Unknown,0,0,0,0
synduce-nested_list-pyramid_intervals,Timeout,60279.813,186,152,11,Unknown,0,0,0,0
synduce-constraints-sortedlist-failing_slspplus,Timeout,61063.203,126,109,22,Unknown,0,0,0,0
autolifter-single-pass-mis,Timeout,60333.914,174,127,2,Unknown,0,0,0,0
synduce-tree-min,Timeout,60193.766,166,106,10,Unknown,0,0,0,0
fusion-algprog-ex3.14,Timeout,60792.508,143,127,4,Unknown,0,0,0,0
synduce-misc-simple_nnf,Valid,59.750507,4,3,3,Unknown,0,0,0,0
synduce-constraints-empty_right_subtree-sum,Timeout,60701.54,107,89,14,Unknown,0,0,0,0
synduce-zipper-list_sum_basic,Timeout,60171.016,56,22,5,Unknown,0,0,0,0
synduce-constraints-bst-minimax_separate,Timeout,60677.5,153,133,14,Unknown,0,0,0,0
synduce-treepaths-sum,Timeout,63596.98,6,2,2,Unknown,0,0,0,0
autolifter-single-pass-max_dist_between_zeros,Timeout,60807.914,71,56,40,Unknown,0,0,0,0
synduce-constraints-memo-proper_indexation_sum_lt_pos_v2,Valid,28330.664,41,30,18,Unknown,0,0,0,0
fusion-identities-page5,Valid,164.53319,7,4,4,Unknown,0,0,0,0
autolifter-single-pass-sum,Valid,11.866398,1,0,0,Unknown,0,0,0,0
synduce-terms-height,Valid,526.3271,4,1,1,Unknown,0,0,0,0
synduce-constraints-sortedlist-max,Timeout,60634.64,86,73,29,Unknown,0,0,0,0
synduce-constraints-bst-from_list_max,Timeout,60031.785,87,60,8,Unknown,0,0,0,0
synduce-constraints-sortedlist-slsp,Timeout,60274.734,136,115,12,Unknown,0,0,0,0
synduce-misc-unknowns_are_ids,Valid,4305.4336,62,11,5,Unknown,0,0,0,0
synduce-tailopt-mps,Timeout,60322.574,49,42,15,Unknown,0,0,0,0
